epoch,train_loss,train_auc,val_loss,val_auc,generalization_score,lr,timestamp
1,0.029309844942146893,0.6250578651029943,0.060600014610422984,0.5698544574357569,0.5422527536021382,0.001,2026-05-18T09:18:33.857333
2,0.0282641505783599,0.678976211294415,0.056917119357320994,0.6006349477703479,0.5614643160083144,0.000989084726566536,2026-05-18T09:22:49.502056
3,0.02818357451406765,0.6844253690538601,0.05365044416652785,0.6854822025090174,0.6854822025090174,0.0009568159560924792,2026-05-18T09:26:38.503472
4,0.027984165841265733,0.702035628990752,0.06129357467095057,0.514475799905218,0.42069588536245095,0.0009046039886902865,2026-05-18T09:30:24.893522
5,0.028093507940124864,0.7003346523110362,0.057833301110400095,0.5456898626611794,0.46836746783625094,0.0008347307378762499,2026-05-18T09:39:52.670073
6,0.02804121048472017,0.714554208247277,0.05619588535692957,0.5271248798559403,0.4334102156602719,0.0007502500000000003,2026-05-18T09:43:43.132292
7,0.027792331261255288,0.7239938560662709,0.053141256173451744,0.6849190105993014,0.6653815878658167,0.0006548539886902865,2026-05-18T09:47:21.681924
8,0.027739027625384646,0.722655206281659,0.05285469111469057,0.6694567463994455,0.6428575164583388,0.0005527119674021932,2026-05-18T09:51:00.615257
9,0.027918983622411922,0.7105227527515687,0.050560596916410655,0.6214509456226218,0.5769150420581484,0.0004482880325978074,2026-05-18T09:54:49.161591
10,0.02761353354719354,0.7330394993077952,0.05147875679863824,0.652171380734029,0.611737321447146,0.000346146011309714,2026-05-18T09:59:05.813333
11,0.02756814950856442,0.7205178179479532,0.05777348288231426,0.6172607363431131,0.565632195540693,0.0002507500000000002,2026-05-18T10:03:00.504994
12,0.02745366833442076,0.7367213252574368,0.051977984607219696,0.6721174038779049,0.6398154431881389,0.00016626926212375052,2026-05-18T10:06:59.342965
13,0.027288251773872858,0.736117640339286,0.053967211602462664,0.6780199957194964,0.6489711734096018,9.639601130971382e-05,2026-05-18T10:11:00.597761
14,0.027322489807206994,0.7387000022503758,0.05148637957043118,0.7337053355743006,0.731208002236263,4.418404390752082e-05,2026-05-18T10:15:43.484773
15,0.027338455625864896,0.732379503149065,0.052177854917115636,0.7252652699458837,0.7217081533442931,1.1915273433464063e-05,2026-05-18T10:20:19.451540
